concept_key,duplicate_group_count,member_question_count,themes,difficulties,repetition_risk,readiness_tag
scroller,1,2,reseaux_sociaux;tech,moyen;facile,low,supports_diversity
seen,1,2,culture_pop,facile,low,single_axis_may_repeat
shadowban,1,2,reseaux_sociaux,difficile,low,single_axis_may_repeat
ship_deux_personnes,1,2,culture_pop,moyen,low,single_axis_may_repeat
side_eye,1,2,culture_pop,difficile,low,single_axis_may_repeat
simp,1,2,culture_pop,difficile,low,single_axis_may_repeat
situationship,1,2,culture_pop,difficile,low,single_axis_may_repeat
slay,1,2,vocabulaire,moyen,low,single_axis_may_repeat
spammer,1,2,culture_pop,facile,low,single_axis_may_repeat
spawn,1,2,culture_pop,moyen,low,single_axis_may_repeat
stories,1,2,reseaux_sociaux,facile,low,single_axis_may_repeat
streamer,1,2,reseaux_sociaux,moyen,low,single_axis_may_repeat
sus,1,2,vocabulaire,difficile,low,single_axis_may_repeat
tagger,1,2,reseaux_sociaux,facile,low,single_axis_may_repeat
telecharger,1,2,tech,facile,low,single_axis_may_repeat
texting,1,2,culture_pop,facile,low,single_axis_may_repeat
trend,1,2,culture_pop,facile,low,single_axis_may_repeat
triggered,1,2,culture_pop,moyen,low,single_axis_may_repeat
tryhard,1,2,culture_pop,moyen,low,single_axis_may_repeat
un_album_drop,1,2,culture_pop,moyen,low,single_axis_may_repeat
un_algo,1,2,culture_pop,difficile,low,single_axis_may_repeat
un_bail,1,2,vocabulaire,moyen,low,single_axis_may_repeat
un_banger,1,2,culture_pop,moyen,low,single_axis_may_repeat
un_bot,1,2,culture_pop,facile,low,single_axis_may_repeat
un_buff,1,2,culture_pop,difficile,low,single_axis_may_repeat
un_buzz,1,2,culture_pop,facile,low,single_axis_may_repeat
un_challenge,1,2,reseaux_sociaux,facile,low,single_axis_may_repeat
un_commentaire_epingle,1,2,reseaux_sociaux,moyen,low,single_axis_may_repeat
un_compte_prive,1,2,reseaux_sociaux,facile,low,single_axis_may_repeat
un_compte_verifie,1,2,reseaux_sociaux,facile,low,single_axis_may_repeat
un_contenu_viral_court,1,2,reseaux_sociaux,moyen,low,single_axis_may_repeat
un_cooldown,1,2,culture_pop,difficile,low,single_axis_may_repeat
un_drop,1,2,culture_pop,moyen,low,single_axis_may_repeat
un_fail,1,2,culture_pop,facile,low,single_axis_may_repeat
un_fake_account,1,2,reseaux_sociaux,facile,low,single_axis_may_repeat
un_feat,1,2,culture_pop,moyen,low,single_axis_may_repeat
un_feed,1,2,reseaux_sociaux,moyen,low,single_axis_may_repeat
un_filtre,1,2,reseaux_sociaux,facile,low,single_axis_may_repeat
un_hack,1,2,culture_pop,facile,low,single_axis_may_repeat
un_hater,1,2,culture_pop,facile,low,single_axis_may_repeat
un_hit,1,2,culture_pop,facile,low,single_axis_may_repeat
un_influenceur,1,2,reseaux_sociaux,facile,low,single_axis_may_repeat
un_inside_joke,1,2,culture_pop,moyen,low,single_axis_may_repeat
un_leak,1,2,culture_pop,moyen,low,single_axis_may_repeat
un_live,1,2,reseaux_sociaux,facile,low,single_axis_may_repeat
un_meme,1,2,culture_pop,facile,low,single_axis_may_repeat
un_meme_mort,1,2,culture_pop,moyen,low,single_axis_may_repeat
un_meme_template,1,2,culture_pop,moyen,low,single_axis_may_repeat
un_meme_viral,1,2,culture_pop,facile,low,single_axis_may_repeat
un_nerf,1,2,culture_pop,difficile,low,single_axis_may_repeat
un_noob,1,2,culture_pop,facile,low,single_axis_may_repeat
un_ping,1,2,culture_pop,moyen,low,single_axis_may_repeat
un_post_viral,1,2,reseaux_sociaux,facile,low,single_axis_may_repeat
un_reaction,1,2,culture_pop,facile,low,single_axis_may_repeat
un_remix,1,2,culture_pop,facile,low,single_axis_may_repeat
un_repost,1,2,reseaux_sociaux,facile,low,single_axis_may_repeat
un_roast,1,2,culture_pop,moyen,low,single_axis_may_repeat
un_skin,1,2,culture_pop,facile,low,single_axis_may_repeat
un_son,1,2,culture_pop,facile,low,single_axis_may_repeat
un_spoiler,1,2,culture_pop,facile,low,single_axis_may_repeat
un_thread,1,2,reseaux_sociaux,moyen,low,single_axis_may_repeat
un_troll,1,2,culture_pop,facile,low,single_axis_may_repeat
un_tuto,1,2,culture_pop,facile,low,single_axis_may_repeat
un_viewer,1,2,reseaux_sociaux,facile,low,single_axis_may_repeat
une_fake_news,1,2,culture_pop,facile,low,single_axis_may_repeat
une_story,1,2,reseaux_sociaux,facile,low,single_axis_may_repeat
unfollow,1,2,reseaux_sociaux,moyen;difficile,low,supports_diversity
unfollow_follow,1,2,reseaux_sociaux,difficile,low,single_axis_may_repeat
unfollow_quelquun,1,2,reseaux_sociaux,facile,low,single_axis_may_repeat
vpn,1,2,tech,difficile,low,single_axis_may_repeat
wesh,2,5,vocabulaire,facile;moyen,medium,supports_diversity
