duplicate_group_id,group_size,suggested_concept_key,suggested_override_concept_key,final_recommended_concept_key,issue_types,confidence,representative_question,member_ids,member_question_previews,human_approved_concept_key,human_notes
exact_3d2b6518ecd6,2,cest_valide,,cest_valide,,high,"“C’est validé”, ça veut dire…",80a20c26-6399-401f-9be4-707408886d0a;de52cfc7-d759-4142-8d8e-bc449cad5c2c,"“C’est validé”, ça veut dire… | “C’est validé”, ça veut dire…",,
exact_3f8df1569399,2,manga,,manga,,high,"Qu'est-ce qu'un ""manga"" ?",3c8d068c-d1ca-474a-a1b5-d499d0abefd6;e387b0c7-1e60-4d7a-bfb1-e2f543a6f8bd,"Qu'est-ce qu'un ""manga"" ? | Qu'est-ce qu'un ""manga"" ?",,
exact_4228b39ed57b,2,un_son,,un_son,,high,"“Un son”, ça veut dire…",4081961e-a233-47b0-abcf-24e76f0c7393;5ae22eb6-a7c9-4a80-be9a-f1a30afe9b0c,"“Un son”, ça veut dire… | “Un son”, ça veut dire…",,
exact_437f67429b86,2,cursed,,cursed,,high,"“Cursed”, ça veut dire…",fce2fd7f-5f9f-4c64-9842-0ac9afa12aa3;f82d8a81-19ab-4309-af00-c9e6d9acd74c,"“Cursed”, ça veut dire… | “Cursed”, ça veut dire…",,
exact_44ab23f02b91,2,un_banger,,un_banger,,high,"“Un banger”, c’est…",8deec39a-f3cf-4ef7-85ae-6d80de8c1999;5fe47003-cae8-4d6f-a09d-94589f1dc599,"“Un banger”, c’est… | “Un banger”, c’est…",,
exact_45274a052b1b,2,low_key,,low_key,,high,"“Low-key”, ça veut dire…",7b718039-8bf4-4d7a-b7b6-76440ae581c9;e48aa748-65f6-4372-a593-7514692b54fa,"“Low-key”, ça veut dire… | “Low-key”, ça veut dire…",,
exact_45ff7448c3aa,2,un_meme_mort,,un_meme_mort,,high,"“Un meme mort”, c’est…",9c22bc71-085d-47c8-80a8-2f7c5f928035;d18b2258-7325-4d2d-bd57-761c498532a1,"“Un meme mort”, c’est… | “Un meme mort”, c’est…",,
exact_47c898134e37,2,boujee,,boujee,,high,"“Boujee”, ça veut dire…",16e1a672-2f63-49b6-a0b4-fbd0aacfe1c6;af656d7a-fd0d-419b-8028-26aa420f1c0e,"“Boujee”, ça veut dire… | “Boujee”, ça veut dire…",,
exact_4898c581f937,2,sus,,sus,short_concept_key_len,high,"“Sus”, ça veut dire…",ff2dea3b-d1d7-4e66-b043-4e05a61c4341;f497743a-c715-4a34-a8a9-447f421ec62d,"“Sus”, ça veut dire… | “Sus”, ça veut dire…",,
exact_4cb42ef8b364,2,cookie,,cookie,,high,"Qu'est-ce qu'un ""cookie"" sur Internet ?",5e0d645d-fef1-4728-8f9a-5b609ed167d0;27de616e-73bb-4b1c-b4a1-11ddbfb5d9b0,"Qu'est-ce qu'un ""cookie"" sur Internet ? | Qu'est-ce qu'un ""cookie"" sur internet ?",,
exact_4ddca2db0f33,2,boss,,boss,short_concept_key_len,high,"“Boss”, dans un jeu, c’est…",4f513adf-0c13-4dcd-8d63-0cdef1f79717;22d55c2a-0dfa-4c2b-a464-a899600481e0,"“Boss”, dans un jeu, c’est… | “Boss”, dans un jeu, c’est…",,
exact_4f9085529741,2,un_drop,,un_drop,,high,"“Un drop”, c’est…",b397a5a6-2903-4357-ba96-fab096d81f4f;67aea755-5bcd-4684-bd72-c27523a8f77c,"“Un drop”, c’est… | “Un drop”, c’est…",,
exact_50cf6362b135,2,scroll,,scroll,,high,"“Scroll”, ça veut dire…",9e87cf94-fc89-44df-8c3f-649719e6b8e8;217125a3-6113-4611-a687-7060553104ff,"“Scroll”, ça veut dire… | “Scroll”, ça veut dire…",,
exact_50f788fc1b89,2,un_buff,,un_buff,,high,"“Un buff”, c’est…",ddca15ca-84ad-4c78-b95e-4ce1ea2df777;5197b130-4864-4f77-91fb-01d879fa6cde,"“Un buff”, c’est… | “Un buff”, c’est…",,
exact_54e2c8f742a9,2,un_hack,,un_hack,,high,"“Un hack”, c’est…",ecd90772-00dd-40e7-9b8c-986e1b6c4e20;f1a6bd3a-d7e6-47fb-ac29-07c8bec7db12,"“Un hack”, c’est… | “Un hack”, c’est…",,
exact_550b94d9250c,2,quelle_est_la_particularite_de_lapplication_bereal,,quelle_est_la_particularite_de_lapplication_bereal,,medium,Quelle est la particularité de l'application BeReal ?,d7b928c2-6a95-4a2f-92bf-45a2a1423fc9;dfa3d33f-2952-4667-9702-0bd157b90620,Quelle est la particularité de l'application BeReal ? | Quelle est la particularité de l'application BeReal ?,,
exact_5533e95139e6,2,un_roast,,un_roast,,high,"“Un roast”, c’est…",73c8fd62-9caf-4433-ba00-6afdc4488ddf;71062896-0acd-4a73-8145-75b0f253fcc4,"“Un roast”, c’est… | “Un roast”, c’est…",,
exact_5858e3b1083f,2,boomer,,boomer,,high,"Que veut dire ""boomer"" ?",a41a1dcf-a74d-4744-b8c2-e336c1a4b8c5;902efbab-ec52-47a8-b28b-3f2aee5c827c,"Que veut dire ""boomer"" ? | Que veut dire ""boomer"" ?",,
exact_590b2c2a611d,2,un_repost,,un_repost,,high,"“Un repost”, c’est…",b9d37bd6-9452-4c85-9ee2-6ace3d533459;04a5aa55-e922-4259-9bc1-58ea2b0bbbfa,"“Un repost”, c’est… | “Un repost”, c’est…",,
exact_594362c5c9ec,2,un_spoiler,,un_spoiler,,high,"“Un spoiler”, c’est…",9de4d106-b8e2-4636-9630-e377c23e7188;201d22e3-32bf-4c24-85bf-ccc76ea20ef6,"“Un spoiler”, c’est… | “Un spoiler”, c’est…",,
exact_5e456b2a0148,2,friendzone,,friendzone,,high,"“Friendzone”, ça veut dire…",703d600c-7663-4bd7-b2c7-45da6493b944;1e544365-ba5a-4c5c-84a5-cf3d47cb7abe,"“Friendzone”, ça veut dire… | “Friendzone”, ça veut dire…",,
exact_5fdbc04cc5ac,2,farm,,farm,short_concept_key_len,high,"“Farm”, dans un jeu, ça veut dire…",92568fda-0db5-4004-b28b-f6a3ad6ab289;3bbee80c-b59a-4875-ae14-a76fb9e78fc8,"“Farm”, dans un jeu, ça veut dire… | “Farm”, dans un jeu, ça veut dire…",,
exact_609b77f79bd6,2,streamer,,streamer,,high,"“Streamer”, ça veut dire…",2875c8fa-5b64-4e31-bbb2-0b1f90b38541;0a8ddb38-468d-4c3a-a9d3-c7f73f3898d6,"“Streamer”, ça veut dire… | “Streamer”, ça veut dire…",,
exact_6480a466637e,2,goat,,goat,,high,"“GOAT”, ça veut dire…",6c580b7e-6d3f-49ca-8641-bf976b15c35b;ddc178ff-6729-4a96-9ebf-7c18c3ec3805,"“GOAT”, ça veut dire… | “GOAT”, ça veut dire…",,
exact_64dde11fce7c,2,un_fake_account,,un_fake_account,,high,"“Un fake account”, c’est…",f9fb026e-7900-4a9e-a911-a2c6f251ed13;216daf78-392c-44c0-8aca-7dc8b74b3cf8,"“Un fake account”, c’est… | “Un fake account”, c’est…",,
exact_65d38c8e37d1,2,gg,,gg,,high,"“GG”, ça veut dire…",bf7c391b-3a97-43a5-8ddc-285eafc9f59a;d9d4092d-b237-4a08-94d0-bcb7f45d31b7,"“GG”, ça veut dire… | “GG”, ça veut dire…",,
exact_69c9073f95a1,2,un_hit,,un_hit,,high,"“Un hit”, c’est…",f6ba8854-9273-4554-a5ee-5b845a8fb636;24759972-bb1b-4b95-8aae-6831bc7001fb,"“Un hit”, c’est… | “Un hit”, c’est…",,
exact_6a36c684caa1,2,ship_deux_personnes,,ship_deux_personnes,,high,"“Ship deux personnes”, ça veut dire…",e9ad9253-d1e4-43e0-8e94-0a214c0cc7b7;04164acb-996c-4f46-bfac-ae73430c7fd4,"“Ship deux personnes”, ça veut dire… | “Ship deux personnes”, ça veut dire…",,
exact_6a57a2cb162a,2,telecharger,,telecharger,,high,"Que veut dire ""télécharger"" ?",f428ef84-0c07-4ebb-bdbc-294e7f85beb2;c7661ebd-a487-47d4-be5e-87cbb5eeb54e,"Que veut dire ""télécharger"" ? | Que veut dire ""télécharger"" ?",,
exact_6b4d3bd320f7,2,cap,,cap,short_concept_key_len,high,"“Cap”, ça veut dire…",c25bcd9b-b4b0-4af4-a86b-a0f2c2c2421a;1b187f9a-9eda-4203-b23e-ebb92d10daa1,"“Cap”, ça veut dire… | “Cap”, ça veut dire…",,
exact_77d5922ea3d8,2,unfollow_follow,,unfollow_follow,,high,"“Unfollow + follow”, c’est souvent pour…",b3b6d229-6375-47f1-8c65-2d1eb2bda46d;3201f894-6c76-4343-94cc-67d44c1a4d13,"“Unfollow + follow”, c’est souvent pour… | “Unfollow + follow”, c’est souvent pour…",,
exact_77e1f1265963,2,un_bot,,un_bot,,high,"“Un bot”, c’est…",111d65a5-56fe-4bc5-8f98-6d3736b97101;4febf470-eb5c-49be-bae0-ce2293fc381a,"“Un bot”, c’est… | “Un bot”, c’est…",,
exact_7a142e4ee8b1,2,double_text,,double_text,,high,"“Double text”, ça veut dire…",d2ba9a5c-f680-4c3b-a425-7fa201a700d8;03301bf8-9984-4521-92a3-85492f30fe68,"“Double text”, ça veut dire… | “Double text”, ça veut dire…",,
exact_7a3a50a9cdcc,2,un_leak,,un_leak,,high,"“Un leak”, c’est…",9c656228-2cbf-44ca-8c9a-d1db3dc565cd;b0909ebc-acbf-4601-a09b-a51dfdac357d,"“Un leak”, c’est… | “Un leak”, c’est…",,
exact_7b33e41ffb2e,2,stories,,stories,,high,"Que sont les ""Stories"" sur Instagram ?",4f317c9e-5bcc-4f45-b7a4-4069aef0b52a;22a04d27-ca2e-4891-8994-69d985c21f41,"Que sont les ""Stories"" sur Instagram ? | Que sont les ""stories"" sur Instagram ?",,
exact_7c06f48c74b0,2,une_fake_news,,une_fake_news,,high,"“Une fake news”, c’est…",6d1156b8-d1bd-4686-bca3-f31146be6362;86009f56-20ba-41d8-aad5-d12057ef9c53,"“Une fake news”, c’est… | “Une fake news”, c’est…",,
exact_7c71706bcc02,2,lag,,lag,short_concept_key_len,high,"“Lag”, dans un jeu, c’est…",5f041b78-6e40-4b78-a6f9-884714efa43b;9c62499c-9fa8-4091-a888-062fe7c8fa63,"“Lag”, dans un jeu, c’est… | “Lag”, dans un jeu, c’est…",,
exact_7f0348e2ce11,2,love_bombing,,love_bombing,,high,"“Love bombing”, ça veut dire…",f319ce64-54ae-4983-8bb0-34785df164e2;e1eab53b-3244-4d75-818d-0ff15348326e,"“Love bombing”, ça veut dire… | “Love bombing”, ça veut dire…",,
exact_8194a2b5fa25,2,un_filtre,,un_filtre,,high,"“Un filtre”, c’est…",b6804354-ce3f-4b08-a586-217f1cd7e738;68526aa2-c043-40b1-8f74-cb91710496d5,"“Un filtre”, c’est… | “Un filtre”, c’est…",,
exact_8a952e878e9c,2,qui_est_squeezie,,qui_est_squeezie,,medium,Qui est Squeezie ?,bebd4379-0ce3-482a-9660-e6272c75a2f2;324180bc-5f36-492f-a640-4ce7a3a5630c,Qui est Squeezie ? | Qui est Squeezie ?,,
exact_8afb652788bf,2,un_contenu_viral_court,,un_contenu_viral_court,,high,"“Un contenu viral court”, c’est souvent…",aa2b5201-e6bc-4fb8-b80b-682fd841e89b;d0dfbf78-d408-44ff-a86d-7d4277e0fff4,"“Un contenu viral court”, c’est souvent… | “Un contenu viral court”, c’est souvent…",,
exact_8bc8978614f8,2,breadcrumbing,,breadcrumbing,,high,"“Breadcrumbing”, ça veut dire…",c4b9f3fd-cbff-44a8-8221-e7a7c77a332a;1f017960-395d-4dd9-96ac-b2b324a5cb9b,"“Breadcrumbing”, ça veut dire… | “Breadcrumbing”, ça veut dire…",,
exact_8bf674d2a9c3,2,ghoster,,ghoster,,high,"Que veut dire ""ghoster"" quelqu'un ?",75833066-0897-4dc4-a106-f7efb3d82ce2;c5b4e1a7-bac5-40ba-981e-91582341e46e,"Que veut dire ""ghoster"" quelqu'un ? | Que veut dire ""ghoster"" quelqu'un ?",,
exact_8e847d1df024,2,ratio,,ratio,,high,"“Ratio”, sur les réseaux, ça veut dire…",addb39c7-cf2f-48a2-ba8a-d5fb496de474;2f4eb4fd-2918-462d-b53c-aa1982fd27c9,"“Ratio”, sur les réseaux, ça veut dire… | “Ratio”, sur les réseaux, ça veut dire…",,
exact_8ff77cfb02d2,2,un_noob,,un_noob,,high,"“Un noob”, c’est…",de5404b0-5c39-4b01-9d77-b40885b6932f;197e0294-70dc-4881-b2b2-d4bf8ff96fdc,"“Un noob”, c’est… | “Un noob”, c’est…",,
exact_933ad71b7e53,2,crush,,crush,,high,"“Crush”, ça veut dire…",c3aaaab2-4e74-4752-a554-7aa4a475baa8;c770abff-ced8-4617-87f2-5f67dc32e1cb,"“Crush”, ça veut dire… | “Crush”, ça veut dire…",,
exact_95b14f16a039,2,loot,,loot,short_concept_key_len,high,"“Loot”, ça veut dire…",05b908c4-c672-453b-a358-ac6e2b79f31a;565fb642-ed5d-4a91-966d-ce352cd0ae1b,"“Loot”, ça veut dire… | “Loot”, ça veut dire…",,
exact_966eba025853,2,based,,based,,high,"“Based”, ça veut dire…",d4cb8888-26c4-42e5-8643-2ce1958a2ecc;c8d22254-3fe3-48a0-949b-e54a785eb241,"“Based”, ça veut dire… | “Based”, ça veut dire…",,
exact_9767b19dfbe5,2,tryhard,,tryhard,,high,"“Tryhard”, ça veut dire…",1ca61163-daeb-4c32-a6d5-1947fa40417b;dcf678f7-6e33-4306-80ec-18983e24bb71,"“Tryhard”, ça veut dire… | “Tryhard”, ça veut dire…",,
exact_9faf6839418b,2,npc,,npc,,high,"“NPC”, ça veut dire…",b613bac2-1269-47ba-861c-b0f8529d7b8b;e0016cd3-6bc4-41d0-aab0-e3505a73675a,"“NPC”, ça veut dire… | “NPC”, ça veut dire…",,
exact_a0688bc37fd1,2,podcast,,podcast,,high,"Qu'est-ce qu'un ""podcast"" ?",c0bfa766-99e1-43da-aa5e-e095795f84cd;fcd413f1-8e18-48a1-a807-741ddc613177,"Qu'est-ce qu'un ""podcast"" ? | Qu'est-ce qu'un ""podcast"" ?",,
exact_a06d4b5d153f,2,trend,,trend,,high,"“Trend”, ça veut dire…",7ec5ca6a-bc56-4d3e-bc6c-6bedd59d97e7;ef9284c4-6473-4ae5-a069-0e3913a1742c,"“Trend”, ça veut dire… | “Trend”, ça veut dire…",,
exact_a383407656c0,2,follow_quelquun,,follow_quelquun,,high,"“Follow quelqu’un”, ça veut dire…",9049deb7-96ac-4917-a4d4-d3173b5cb0d1;0eda6020-4607-4194-8871-f91d47afe33c,"“Follow quelqu’un”, ça veut dire… | “Follow quelqu’un”, ça veut dire…",,
exact_a44edcdfde68,2,un_feat,,un_feat,,high,"“Un feat”, c’est…",c4845877-19f6-414e-88a6-cad9ca178a1b;a28ae584-136e-4b6a-9768-53d793309cce,"“Un feat”, c’est… | “Un feat”, c’est…",,
exact_a4766c021d42,2,cest_carre,,cest_carre,,high,"“C’est carré”, ça veut dire…",8160d5c3-772b-4b83-a414-b45598a5ccde;913e4517-f06c-4733-8afe-6d56ee765208,"“C’est carré”, ça veut dire… | “C’est carré”, ça veut dire…",,
exact_a57677955b11,2,matrixe,,matrixe,,high,"“Matrixé”, ça veut dire…",969ac45d-0d1c-4b98-81c4-b6e609dc84f7;e1bc07f9-409a-4477-8aa2-7c3d12f3768c,"“Matrixé”, ça veut dire… | “Matrixé”, ça veut dire…",,
exact_a5a52a81bffa,2,cest_clean,,cest_clean,,high,"“C’est clean”, ça veut dire…",fda6745e-cbb9-438d-80d6-5bcf9a3fcf86;938d6182-cacd-4482-aedf-3102a6cd6d2b,"“C’est clean”, ça veut dire… | “C’est clean”, ça veut dire…",,
exact_a740421aaebc,2,clickbait,,clickbait,,high,"“Clickbait”, ça veut dire…",7217cc30-ad93-4628-9caf-68cc68d85265;e7e528a6-59b7-40ab-b0c0-9c188b4e26d7,"“Clickbait”, ça veut dire… | “Clickbait”, ça veut dire…",,
exact_a85fb933a037,2,un_live,,un_live,,high,"“Un live”, c’est…",cbc8381f-d9dd-4378-854b-95cf99cc01fc;028dd3bc-fd20-454c-b0d5-186c2d3bca2a,"“Un live”, c’est… | “Un live”, c’est…",,
exact_ab24ae42914b,2,un_troll,,un_troll,,high,"“Un troll”, c’est…",aa8680ec-5be3-43ab-8bcb-c857d832859f;e6672338-44c5-46e1-8352-4284593203f5,"“Un troll”, c’est… | “Un troll”, c’est…",,
exact_ad4289f71752,2,dead,,dead,short_concept_key_len,high,"Quand quelqu’un écrit “dead”, ça veut dire…",7acb5233-6a7f-4d44-88a8-1c1f15927477;c710e1fc-3050-4eab-b064-fd627c6e6c99,"Quand quelqu’un écrit “dead”, ça veut dire… | Quand quelqu’un écrit “dead”, ça veut dire…",,
exact_ad5a1c2e5788,2,unfollow_quelquun,,unfollow_quelquun,,high,"“Unfollow quelqu’un”, ça veut dire…",617c4e6e-3494-4233-9793-4fce262a707a;5cbd35a6-a5e4-45bb-8861-feec656c29a6,"“Unfollow quelqu’un”, ça veut dire… | “Unfollow quelqu’un”, ça veut dire…",,
exact_ae1eb075aa7f,2,no_cap,,no_cap,,high,"“No cap”, ça veut dire…",a25fea63-8997-4783-a3eb-5a854594bc4c;a66bb8b5-86d7-40e1-abef-bfa13ab46af1,"“No cap”, ça veut dire… | “No cap”, ça veut dire…",,
