duplicate_group_id,question_id,concept_key_suggested,suggestion_reason,question_preview,issue_types,suggested_override_concept_key,override_reason
exact_1a83bd9ed883,f07dfa67-766c-4898-9cf5-be095bd6d2e0,wesh,quoted_root_from_canonical_question,"Que veut dire ""wesh"" ?",short_concept_key_len,,
exact_20de7d8ad26c,8313de64-93d0-43e6-8630-e2169721be19,simp,quoted_root_from_canonical_question,"“Simp”, ça veut dire…",short_concept_key_len,,
exact_20de7d8ad26c,cd48d070-da41-4d0f-9175-97146b3874b5,simp,quoted_root_from_canonical_question,"“Simp”, ça veut dire…",short_concept_key_len,,
exact_2277573d0a07,2f0980e2-1286-41d5-b41b-ad36b13c26d2,meta,quoted_root_from_canonical_question,"“Meta”, dans un jeu, c’est…",short_concept_key_len,,
exact_2277573d0a07,3a3fa07a-52d1-48f2-bfb4-cdf384f77627,meta,quoted_root_from_canonical_question,"“Meta”, dans un jeu, c’est…",short_concept_key_len,,
exact_4898c581f937,f497743a-c715-4a34-a8a9-447f421ec62d,sus,quoted_root_from_canonical_question,"“Sus”, ça veut dire…",short_concept_key_len,,
exact_4898c581f937,ff2dea3b-d1d7-4e66-b043-4e05a61c4341,sus,quoted_root_from_canonical_question,"“Sus”, ça veut dire…",short_concept_key_len,,
exact_4ddca2db0f33,22d55c2a-0dfa-4c2b-a464-a899600481e0,boss,quoted_root_from_canonical_question,"“Boss”, dans un jeu, c’est…",short_concept_key_len,,
exact_4ddca2db0f33,4f513adf-0c13-4dcd-8d63-0cdef1f79717,boss,quoted_root_from_canonical_question,"“Boss”, dans un jeu, c’est…",short_concept_key_len,,
exact_5fdbc04cc5ac,3bbee80c-b59a-4875-ae14-a76fb9e78fc8,farm,quoted_root_from_canonical_question,"“Farm”, dans un jeu, ça veut dire…",short_concept_key_len,,
exact_5fdbc04cc5ac,92568fda-0db5-4004-b28b-f6a3ad6ab289,farm,quoted_root_from_canonical_question,"“Farm”, dans un jeu, ça veut dire…",short_concept_key_len,,
exact_6b4d3bd320f7,1b187f9a-9eda-4203-b23e-ebb92d10daa1,cap,quoted_root_from_canonical_question,"“Cap”, ça veut dire…",short_concept_key_len,,
exact_6b4d3bd320f7,c25bcd9b-b4b0-4af4-a86b-a0f2c2c2421a,cap,quoted_root_from_canonical_question,"“Cap”, ça veut dire…",short_concept_key_len,,
exact_7c71706bcc02,5f041b78-6e40-4b78-a6f9-884714efa43b,lag,quoted_root_from_canonical_question,"“Lag”, dans un jeu, c’est…",short_concept_key_len,,
exact_7c71706bcc02,9c62499c-9fa8-4091-a888-062fe7c8fa63,lag,quoted_root_from_canonical_question,"“Lag”, dans un jeu, c’est…",short_concept_key_len,,
exact_95b14f16a039,05b908c4-c672-453b-a358-ac6e2b79f31a,loot,quoted_root_from_canonical_question,"“Loot”, ça veut dire…",short_concept_key_len,,
exact_95b14f16a039,565fb642-ed5d-4a91-966d-ce352cd0ae1b,loot,quoted_root_from_canonical_question,"“Loot”, ça veut dire…",short_concept_key_len,,
exact_ad4289f71752,7acb5233-6a7f-4d44-88a8-1c1f15927477,dead,quoted_root_from_canonical_question,"Quand quelqu’un écrit “dead”, ça veut dire…",short_concept_key_len,,
exact_ad4289f71752,c710e1fc-3050-4eab-b064-fd627c6e6c99,dead,quoted_root_from_canonical_question,"Quand quelqu’un écrit “dead”, ça veut dire…",short_concept_key_len,,
exact_b5907ead58f9,cdb5cfef-8f7e-437b-9862-c98cb4f1f625,mdr,quoted_root_from_canonical_question,"Que veut dire ""mdr"" ?",short_concept_key_len,,
exact_b7dfd2d39a96,27eb5f80-3659-4f3a-9b61-ec741058fd12,slay,quoted_root_from_canonical_question,"“Slay”, ça veut dire…",short_concept_key_len,,
exact_b7dfd2d39a96,ac8d3271-5968-47a6-9061-52667e792088,slay,quoted_root_from_canonical_question,"“Slay”, ça veut dire…",short_concept_key_len,,
exact_cec61c0eb007,55f6b0f6-e9a7-480b-a640-7b055e6c3243,lit,quoted_root_from_canonical_question,"“Lit”, ça veut dire…",short_concept_key_len,,
exact_cec61c0eb007,d419b84c-9d8d-46bd-a564-dd801c056b33,lit,quoted_root_from_canonical_question,"“Lit”, ça veut dire…",short_concept_key_len,,
exact_e8f14af61968,0258f3e1-41b6-4e9c-bedc-077d5fbe7825,seen,quoted_root_from_canonical_question,"“Seen”, dans une conversation, ça veut dire…",short_concept_key_len,,
exact_e8f14af61968,5f3d73b8-1970-4e53-8741-462280a20895,seen,quoted_root_from_canonical_question,"“Seen”, dans une conversation, ça veut dire…",short_concept_key_len,,
